Name of community,Finalist,Province or Territory,Population Based on 2016 Census,Prize category,Challenge statement,Summary,Focus areas,Community system/service areas,Technologies,URL
City of Campbell River,No,British Columbia,32588,$ 10 million,"We will transform our downtown, collaborating with our partners and using enabling technologies, open data, and smart applications to solve safety issues and care for the needs of our vulnerable population, creating a welcoming city centre that attracts more businesses and visitors.","Downtown is the heart of Campbell River. A city in a world-class setting deserves an equally impressive downtown. Ensuring downtown is safe, vibrant, and thriving for current and future generations is paramount. Community engagement was integral to developing our Challenge Statement. We have taken a community-driven approach where citizens are essential to the design and development of our smart city. We received input from a wide range of community members using digital, social, radio, and print media, an online engagement forum, dedicated events, phone calls, and in-person meetings.We commit to:•	Reduce the numbers of incidents requiring police presence by 75% by 2025, creating a safe and welcoming city centre for all.•	Reduce homelessness by 100% by 2025.We will achieve this by creating a smart living lab with the following characteristics:•	Designed to solve community problems as identified by public input.•	Open APIs to ensure easy integration and to allow for the gathering of analytics.•	Scalable to other parts of the City and to other cities.•	Flexible to accommodate both a growing and aging population.Building on an already strong foundation, the City of Campbell River is ready to implement smart strategies to transform its downtown. ",Empowerment and inclusion|Safety and security,Arts and culture|Economic development|Education and training|Emergency services and enforcement|Environment|Land use planning and development|Public health|Recreation and parks|Roads and transportation|Social services,Artificial intelligence (AI)|Autonomous and connected vehicles|Big data analytics|Cloud computing|Enterprise solutions|Environmental monitoring|Geospatial|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors|Video analytics,http://www.campbellriver.ca/smart-cities
City of Charlottetown,No,Prince Edward Island,36094,$ 10 million,"Charlottetown will become a community focused on building mental wellness and resilience among youth, reducing the prevalence of mood and anxiety disorders, reducing the costs of mental health care and reducing tobacco use, heavy drinking and cannabis use through increasing physical activity and improving opportunities for social inclusion and empowerment.",Charlottetown proposes to become a community focused on building mental wellness and resiliency amongst our youth. The project will result in improved mental wellbeing for City youth and provide co-benefits of improved physical wellbeing and reduced levels of substance abuse. The project will focus on preventative measures with the anticipated benefit of reducing treatment and intervention costs. Appropriate use of technology will be central to engaging and assisting youth in their journey to improved self-confidence and developing the skills to handle life’s challenges. The success of the project will be measured through program participation rates and evaluation of the impact on treatment costs. The Community recognizes the need to tackle mental health challenges. All parties approached have been very supportive of the initiative and are committed to finding solutions. The development of the Charlottetown’s Strategic Mental Aptitude and Resiliency Technology will provide a model to be replicated across the Country.,Empowerment and inclusion|Healthy living and recreation,Education and training|Emergency services and enforcement|Public health|Recreation and parks|Roads and transportation|Social services,Assistive technology|Big data analytics|Health or Medical technology|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors|Wearables,https://www.charlottetown.ca/events___initiatives/special_events_and_initatives/smart_cities_challenge
City of Clarence-Rockland,No,Ontario,24512,$ 5 million,"Clarence-Rockland will leverage smart city sensors and geospatial analysis to drive change and create a complete active transportation network allowing 100% of residents to access key community destinations within walking and bicycling distance, accelerating our progress towards becoming a connected, healthy city that cultivates a sense of place and possibility.","Our residents have made themselves heard: they want better active transportation options to connect to parks, businesses, and schools in our community. In response, we have planned a comprehensive two-part process that uses smart city technology. The process includes A) Deployment of sensors and smart bike lights that monitor traffic volumes and speeds (car, bicycle, and pedestrian) and environmental quality paired with resident engagement and behavior change through gamification of public space and real-time information on progress toward community goals; and B) Geospatial analysis augmented by data from sensors to determine key weaknesses in network connectivity for active transportation and use of tactical urbanism strategies to quickly test and evaluate solutions to network gaps, leading to permanent investments.The primary outcome we aim to achieve is this: Every resident will be able to connect to all key community destinations within walking and bicycling distance of their homes. Along the way to that goal, we’ll increase trail usage, reduce car traffic, improve our readiness for Internet of Things technologies, enhance resident engagement with public space, create incentives for active transportation, and spark a culture shift within our City operations towards iterative, responsive street design that puts people first. ",Healthy living and recreation|Mobility,Arts and culture|Economic development|Environment|Public health|Recreation and parks|Roads and transportation,Environmental monitoring|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Sensors|Other: Please specify,http://www.clarence-rockland.com/index.php/en/visitors/smart-cities-v
City of Coquitlam,No,British Columbia,139284,$ 10 million,"Coquitlam will become a Smart City Living Lab by leveraging technology, data, experimentation, research and public-private-people partnerships to develop waste management solutions that minimize and mitigate human-wildlife conflict and address other emerging environmental and sustainability issues such as waste reduction and diversion, greenhouse gas reduction and use of renewable energies.","Coquitlam is a vibrant and rapidly growing community of more than 140,000 people within Metro Vancouver, British Columbia. Our urban setting within forests and parks, combined with growth into new greenfield areas, has contributed to a sharp rise in human-wildlife conflict and related complaints in recent years – despite dedicated education and enforcement efforts and a provincial Bear Smart designation in 2017. With extensive development planned for forested areas in northeast Coquitlam  in the coming decades, new tools are required for the City’s waste management and wildlife program to proactively address this community challenge. We are seeking to improve how we live with wildlife by leveraging technology, data, and an engaged population that places a high value on environmental sustainability, public safety, telecommunications and enhanced City services.As a Smart City Living Lab, Coquitlam would make use of available technology and partnerships for both community engagement and the collection of data to inform decisions about smart waste-management solutions, planning and service delivery. The initiative would also provide a template for addressing emerging environmental sustainability issues in the future. ",Empowerment and inclusion|Environmental quality,Environment|Recreation and parks|Roads and transportation|Waste,Artificial intelligence (AI)|Augmented reality (AR) or Virtual reality (VR)|Big data analytics|Environmental monitoring|Internet of Things (IoT)|Mobile applications|Networks|Sensors|Video analytics,https://www.coquitlam.ca/city-hall/city-government/smart-cities-challenge
City of Cornwall,No,Ontario,46589,$ 10 million,Residents in Cornwall will feel safer and more secure knowing that their homes can communicate with emergency services if the need ever arises via the Safe Home Monitoring System (SHMS).,"The City of Cornwall is proposing the implementation of a Safe Home Monitoring System, which will be a communication system that will monitor your home and alert emergency services when required, and maintain system accuracy providing first responders with crucial information while en route:Home Monitoring. The SHMS will continuously monitor active alerting systems through interconnected wireless Smoke and Carbon Monoxide Alarms located in every single family residential dwelling and apartment units. It will incorporate a voice activated capability enabling the resident to contact for help via verbal commands, and signal alarm modes to city dispatch outlining the type of event occurring in the home;Dedicated Messaging. The SHMS will deliver public service messages to each home, such as educational messages on preventative safety measures;Instinctive Connectivity. Once the system is activated, real-life dispatchers can connect with the resident through a voice-over IP system to qualify the nature of an emergency;Proactive Disclosure. The system can deliver real-time accurate information on the property to arriving first responders, allowing them to make accurate tactical decisions, and;Constant Readiness. Provide up-to-date data and information on the status of Smoke, CO alarm condition and functionality to ensure faulty detection is addressed immediately.",Environmental quality|Safety and security,Education and training|Emergency services and enforcement|Public health|Social services,Artificial intelligence (AI)|Assistive technology|Big data analytics|Environmental monitoring|Geospatial|Health or Medical technology|Mobile applications|Networks|Open data platforms|Sensors,http://www.cornwall.ca/en/smart-cities-challenge.asp
City of Estevan,No,Saskatchewan,11483,$ 5 million,"""Improve our standard of living""After a recent drastic and steady economic decline, our community will rejuvenate a dormant and sluggish energy city into one of the most thriving and diversified locations in Canada for economic growth  and community development.","The City of Estevan and the surrounding area has always had a vibrant/diversified economy relying on four main economic drivers: Oil & Gas, Coal Mining, Power Generation and Agriculture. Current economic conditions have decreased oil prices, and the national and global move towards cleaner and greener renewable sources of energy has created uncertainty within our coal mining and power generation drivers.The City of Estevan is looking to diversify the local economy through the use of research and technology in areas such as farming, transportation, agri- value, greenhouse technology and geothermal energy. The City will achieve this by working closely with partners such as the Southeast College, Chamber of Commerce, Central North American Trade Corridor Association, and the Rural Municipality of Estevan to:-	Create education and business related to drone and autonomous vehicle implementation to enhance trade through the central Highway 39 corridor.-	Focus on green technologies that can develop Green House and value added agri-food processing-	Support Green Energy initiatives such as Geothermal and Solar Energy.By diversifying our economy, we can maintain a high standard of living for the Estevan community and can expand the range of social and economic choices for our area.",Economic opportunity,Economic development|Education and training|Environment|Land use planning and development|Roads and transportation,Artificial intelligence (AI)|Augmented reality (AR) or Virtual reality (VR)|Autonomous and connected vehicles|Big data analytics|Environmental monitoring|Geospatial|Internet of Things (IoT)|Mobile applications|Sensors|Video analytics,http://estevan.ca/economic-development-contact/
City of Greater Sudbury,No,Ontario,161531,$ 10 million,"The City of Greater Sudbury is mining for new economic growth and social inclusion by developing a Smart City Living Lab to provide an inclusive technological platform for innovation that improves residents’ lives, adds new tech jobs and nurtures bright minds looking for a place to shine.","The City of Greater Sudbury combines its strength in innovation with smart cities technologies to propose a “city as a lab” for smart city training, development and testing. It will invite students and companies to develop solutions that drive economic growth, local employment opportunities and sustainable infrastructure. The City already has the experience in innovation and partnering required by this proposal. Innovation is already being successfully promoted by organizations such as the Northern Centre for Advanced Technology (NORCAT) which facilitates private and public investment in innovation.  Additionally, mining supply and services companies in the city generate $4 billion annually. Further, the city’s post-secondary institutions have designed programs specifically to support technological innovation such as Cambrian Innovates. The Lab will deliver a connected smart city platform where, for example, a partnering company could easily connect their sensors to a standards-based terrestrial network, or a partner could create an App that contributes to or uses a repository of smart city data.  All of this would be done in a lab that assures citizen engagement, safety and privacy.   https://www.greatersudbury.ca/images/smartcity.png",Economic opportunity|Empowerment and inclusion,Economic development|Education and training|Social services,Big data analytics|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Other: Please specify,https://www.greatersudbury.ca/smartcitieschallenge
City of Kelowna,No,British Columbia,127380,$ 10 million,Our community will ensure that every person can access affordable and diverse housing options and related supports that fit their life circumstances.,"Working in collaboration with community partners, the City of Kelowna will create data sharing and connected technology tools that make it easy to collect and analyze data from disparate sources within Kelowna’s complex housing and homeless-serving systems. These tools will provide a more complete and realistic view of our community’s constantly changing needs and transform how housing and homelessness related decisions are made. This proposal has the potential to deliver a more stable housing market, break down data silos among service providers, and develop strong partnerships for greater success. It will help Kelowna achieve three main outcomes:#1: A balanced housing market with a diverse range of affordable and attainable options #2: Reduce the risk of homelessness for the vulnerable#3: A “Functional Zero” end to homelessness in KelownaThis proposal has several interconnected projects: •	Feasibility and partner development study.•	Build a collaborative data collection system that is fed from a variety of sources.•	Create predictive modelling tools.•	Create a central platform for services management and agency information sharing.•	Expand our open data network.All of these projects will be built using industry leading tools and will take advantage of open-source software and open data techniques.",Empowerment and inclusion|Healthy living and recreation,Economic development|Education and training|Emergency services and enforcement|Land use planning and development|Public health|Recreation and parks|Social services,Artificial intelligence (AI)|Big data analytics|Cloud computing|Enterprise solutions|Geospatial|Internet of Things (IoT)|Mobile applications|Networks|Open data platforms|Other: Please specify,http://www.kelowna.ca/our-community/smart-cities-challenge
City of Langford,No,British Columbia,35342,$ 10 million,The City of Langford will leverage its momentum as one of the fastest growing municipalities in Canada into unprecedented affordability and livability within the next ten years through the implementation of a Smart City development strategy informed by connected digital sensor technologies to increase efficiency and reduce costs.,"The City of Langford is one of the fastest growing municipalities in Canada, absorbing a rapidly growing population within the intersection of a provincial affordable housing crisis and a finite, ecologically unique island environment.  Affordability couched within triple-bottom-line livability is of paramount importance to the residents of Langford. The “challenge” of affordability in Langford is one of prevention, and protection. Langford’s residents have made their case that affordability, livability and green city infrastructure are their long-term priorities. In response, Langford’s Smart City Strategy and pilot project proposal aims to leverage these circumstances into unprecedented affordability and livability through data and interconnected technology. Comprised of a unified Internet of Things (IoT) platform strategy, this cloud-based technology extracts, computes and moves data from connected things to IoT applications to deliver transparent and meaningful information and services with regard to consumption and efficiency. Opportunities within these data are translated into cost savings and discounts on monthly billing and rent cycles, reduced GHG emissions, and an overall reduction of waste and maintenance costs – keeping Langford affordable, livable and sustainable in the context of provincial strategies and existing municipal priorities",Economic opportunity|Environmental quality,Economic development|Environment|Land use planning and development|Roads and transportation|Social services|Waste|Water and wastewater,Cloud computing|Environmental monitoring|Geospatial|Internet of Things (IoT)|Mobile applications|Open data platforms|Payment platforms|Sensors,http://www.langford.ca/
City of Lethbridge,No,Alberta,92729,$ 10 million,"Through the development of an innovation district, Lethbridge will double its post-secondary graduate retention rates and will become the city of choice for businesses that think and operate differently by 2025.","Lethbridge is a growing community with a great future but one that also anticipates some tough challenges.One obstacle to sustained growth revolves around the issue of keeping graduates from the University of Lethbridge and Lethbridge College in the city to help it thrive in the coming years.Our Challenge Statement directly addresses this: Through the development of an Innovation District, Lethbridge will double its post-secondary graduate retention rates and will become the city of choice for businesses that think and operate differently by 2025.The Innovation District can be the game changer for the city - what has been described as a “catalytic project” by the Lethbridge Commercial & Industrial Development Study.The purpose of a catalytic project is to: trigger development within an emerging or expanding economic sector; produce a project that will be beneficial to the region from a social or economic perspective; and increase skills training and entrepreneurship among young university and college graduates.Focused around established and growing economic sectors such as agri-business, technology, advanced manufacturing, bio-industrial, and life sciences, the Innovation District will provide an environment that will foster growth for businesses and create opportunities for young talent to live, work, and enjoy the city.",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Environment|Land use planning and development|Social services,Environmental monitoring|Internet of Things (IoT)|Mobile applications|Networks,http://www.lethbridge.ca/smartcity
City of Maple Ridge,No,British Columbia,82256,$ 10 million,"The City of Maple Ridge will provide its citizens access to the data, information, tools and applications that they need to connect with each other and with their local government so that every citizen who wants to participate and collaborate in Community issues is empowered to do so.","Our initiative aims to break down barriers and increase participation, engagement and collaboration through informative, intuitive and data rich mobile friendly applications.  Individuals will be able to follow municipal projects from beginning to end through easy to use web applications that leverage integration technologies to synthesize data and content from across the organization.  Interactive applications that break down complex municipal processes will deliver the answers to the questions:  How Does it Work?  How can I Participate? and Where can I Find the Information?  A series of infographics on key municipal metrics will allow individuals to explore and utilize the data.  An online community hub will serve as a connection point to deliver and exchange information, capture ideas, collaborate and effect action on current initiatives.  Access to community information will be displayed geographically, and other engaging ways that are meaningful to citizens.  Citizen centric applications focused on connecting citizens to each other will allow individuals to leverage the best of our local economy and assets.  A community space will serve to increase access and opportunities for collaboration. Applications that collate data in meaningful ways to promote understanding, provide access and deliver action and services will empower and engage.",Economic opportunity|Empowerment and inclusion,Arts and culture|Economic development|Education and training|Emergency services and enforcement|Land use planning and development|Recreation and parks|Roads and transportation,Augmented reality (AR) or Virtual reality (VR)|Enterprise solutions|Geospatial|Mobile applications|Networks|Open data platforms,http://www.mapleridge.ca/DocumentCenter/View/16534
